序号,名称,朝代,最早朝代,朝代排序值,地址,地市,区县,类型,批次,编号,年度,访古等级
517,怀覃会馆,清,清,1644,山西省晋城市城区,晋城市,城区,古建筑,第八批,258,2019,小众
518,五台山尊胜寺,民国,民国,1912,山西省五台县,忻州市,五台县,古建筑,第八批,259,2019,小众
519,山神峪千佛洞石窟,元、清,元,1271,山西省交口县,吕梁市,交口县,石窟寺及石刻,第八批,480,2019,小众
520,挂甲山摩崖造像,北朝至明,北朝,420,山西省吉县,临汾市,吉县,石窟寺及石刻,第八批,481,2019,小众
521,营里千佛洞石窟,北齐至唐,北齐,550,山西省乡宁县,临汾市,乡宁县,石窟寺及石刻,第八批,482,2019,小众
522,竖石佛摩崖造像,北齐至唐,北齐,550,山西省交城县,吕梁市,交城县,石窟寺及石刻,第八批,483,2019,小众
523,静居寺石窟,唐,唐,618,山西省静乐县,忻州市,静乐县,石窟寺及石刻,第八批,484,2019,推荐
524,高君宇故居,1896年,近现代,1896,山西省娄烦县,太原市,娄烦县,近现代/革命史迹,第八批,528,2019,可选
525,山西督军府旧址,1916年,近现代,1916,山西省太原市杏花岭区,太原市,杏花岭区,近现代/革命史迹,第八批,529,2019,可选
526,忻口战役遗址,1937年,近现代,1937,山西省忻州市忻府区,忻州市,忻府区,近现代/革命史迹,第八批,530,2019,可选
527,金岗库村晋察冀军区司令部旧址,1938年,近现代,1938,山西省五台县,忻州市,五台县,近现代/革命史迹,第八批,531,2019,可选
528,晋绥日报社旧址,1940年,近现代,1940,山西省兴县,吕梁市,兴县,近现代/革命史迹,第八批,532,2019,可选
529,小李村太岳行署旧址,1942年,近现代,1942,山西省安泽县,临汾市,安泽县,近现代/革命史迹,第八批,533,2019,可选
530,北坡中共中央晋绥分局旧址,1942年,近现代,1942,山西省兴县,吕梁市,兴县,近现代/革命史迹,第八批,534,2019,可选
531,临县陕甘宁晋绥联防军指挥部旧址,1947年,近现代,1947,山西省临县,吕梁市,临县,近现代/革命史迹,第八批,535,2019,可选
532,临县中央后委机关旧址,1947年,近现代,1947,山西省临县,吕梁市,临县,近现代/革命史迹,第八批,536,2019,可选
